kelime	sıklık	tür	okunuş	çeviri	seviye
him	69	pronoun	/hɪm; ɪm/	o	A1
come	70	verb	/kʌm/	gelmek	A1
your	71	article	/jʊr; jər/	sizin	A1
now	72	adv.	/naʊ/	şimdi	B1
could	73	verb	/kəd; kʊd/	abilir	A1
than	74	conj.	/ðən; ðæn/	hariç	A1
like	75	prepos.	/laɪk/	beğenmek	A1
other	76	adj.	/ˈʌðər/	diğer	A1
then	77	adv.	/ðen/	sonra	A1
how	78	adv.	/haʊ/	nasıl	A1
its	79	article	/ɪts/	onun	A1
two	80	num.	/tuː/	2	A1
our	81	article	/ɑːr/	bizim	A1
more	82	adv.	/mɔːr/	daha fazla	A1
these	83	deter.	/ðiːz/	bunlar	
want	84	verb	/wɑːnt/	istemek	A1
way	85	noun	/weɪ/	yol / yöntem	B2
no	86	article	/noʊ/	Hayır	A1
look	87	verb	/lʊk/	bakmak	A2
first	88	num.	/fɜːrst/	ilk, birinci	A2
also	89	adv.	/ˈɑːl.soʊ/	ayrıca	A1
new	90	adj.	/nuː/	yeni	A1
because	91	conj.	/bɪˈkəz/	Çünkü	A1
day	92	noun	/deɪ/	gün	A1
more	93	deter.	/mɔːr/	daha fazla	A1
use	94	verb	/juːz/	kullanmak	A2
man	95	noun	/mæn/	adam	A1
here	96	adv.	/hɪr/	burada	A1
find	97	verb	/faɪnd/	bulmak	A1
give	98	verb	/ɡɪv/	vermek	A1
thing	99	noun	/θɪŋ/	şey	A1
well	100	adv.	/wel/	iyi	A1
many	101	deter.	/ˈmeni/	birçok	A1
only	102	adv.	/ˈoʊnli/	sadece, bir tek	A1
those	103	deter.	/ðoʊz/	şunlar	
tell	104	verb	/tel/	söylemek	A1
very	105	adv.	/ˈveri/	çok	B2
one	106	pronoun	/wʌn/	bir	A1
even	107	adv.	/ˈiːvn/	bile	B2
her	108	pronoun	/hər; ɜːr; ər; hɜːr/	ona	A1
back	109	adv.	/bæk/	geriye, arkaya	B2
any	110	deter.	/ˈeni/	herhangi	A2
good	111	adj.	/ɡʊd/	iyi	A2
us	112	pronoun	/əs; ʌs/	bizi	A1
through	113	prepos.	/θruː/	yoluyla,&nbsp;başından sonuna kadar	A1
woman	114	noun	/ˈwʊmən/	kadın	A1
life	115	noun	/laɪf/	hayat	A1
child	116	noun	/tʃaɪld/	çocuk	A1
there	117	adv.	/ðer/	orada	A1
down	118	adv.	/daʊn/	aşağıya	A1
work	119	verb	/wɜːrk/	çalışmak	A1
after	120	prepos.	/ˈæftər/	sonrasında	A2
call	121	verb	/kɑːl/	(telefonla) aramak, çağırmak	A1
may	122	verb	/meɪ/	-ebilmek	A2
world	123	noun	/wɜːrld/	Dünya	A1
over	124	prepos.	/ˈoʊvər/	bitmiş	A1
should	125	verb	/ʃəd; ʃʊd/	-meli, -malı	A1
still	126	adv.	/stɪl/	hâlâ	B1
try	127	verb	/traɪ/	denemek	B2
in	128	adv.	/ɪn/	içinde	A1
school	129	noun	/skuːl/	okul	A1
as	130	adv.	/əz; æz/	olarak	A2
last	131	num.	/læst/	son, geçen	
ask	132	verb	/æsk/	sormak	A1
too	133	adv.	/tuː/	fazla	A1
need	134	verb	/niːd/	ihtiyaç	B1
three	135	num.	/θriː/	üç	A1
feel	136	verb	/fiːl/	hissetmek	B2
when	137	adv.	/wen/	ne zaman	A1
become	138	verb	/bɪˈkʌm/	olmak, haline gelmek	A1
state	139	noun	/steɪt/	devlet / durum, hal	B1
never (%0)	140	adv.	/ˈnevər/	asla	A1
between	141	prepos.	/bɪˈtwiːn/	arasında	A2
high	142	adj.	/haɪ/	(statü veya durum olarak) yüksek	B2
something	143	pronoun	/ˈsʌmθɪŋ/	bir şey	A1
really	144	adv.	/ˈriːəli/	gerçekten	A1
most	145	adv.	/moʊst/	çoğu	A1
another	146	deter.	/əˈnʌðər/	bir diğeri	A1
much	147	deter.	/mʌtʃ/	çok	A1
own	148	deter.	/oʊn/	sahip olmak	A2
family	149	noun	/ˈfæməli/	aile	A1
out	150	prepos.	/aʊt/	dışarı	A1
house	151	noun	/haʊs/	(başkasına ait) ev	A1
leave	152	verb	/liːv/	bırakmak, ayrılmak, terk etmek	B2
put	153	verb	/pʊt/	koymak	A1
old	154	adj.	/oʊld/	yaşlı, eski	A1
on	155	adv.	/ɑːn/	üzerinde	A1
while	156	conj.	/waɪl/	sırasında	B1
mean	157	verb	/miːn/	demek istemek, kastetmek	A1
let	158	verb	/let/	İzin Vermek	A1
why	159	adv.	/waɪ/	niye, neden	A1
president	160	noun	/ˈprezɪdənt/	Devlet Başkanı	A2
keep	161	verb	/kiːp/	Tut	A1
same	162	deter.	/seɪm/	aynı	A1
great	163	adj.	/ɡreɪt/	harika	A1
begin	164	verb	/bɪˈɡɪn/	başlamak	A1
big	165	adj.	/bɪɡ/	büyük	A1
seem	166	verb	/siːm/	gözükmek	A2
group	167	noun	/ɡruːp/	grup	A1
country	168	noun	/ˈkʌntri/	ülke	A1
talk	169	verb	/tɑːk/	(birisiyle) konuşmak	A2
problem	170	noun	/ˈprɑːbləm/	sorun	A1
where	171	conj.	/wer/	nerede	A1
turn	172	verb	/tɜːrn/	dönmek	A1
student	173	noun	/ˈstuːdnt/	öğrenci	A1
every	174	article	/ˈevri/	her	A1
hand	175	noun	/hænd/	el	B1
help	176	verb	/help/	yardım etmek	A1
against	177	prepos.	/əˈɡenst; əˈɡeɪnst/	karşısında	A2
start	178	verb	/stɑːrt/	başlatmak	A2
American	179	adj.	/əˈmerɪkən/	Amerikan	
part	180	noun	/pɑːrt/	(bir bütüne ait) parça	A1
show	181	verb	/ʃoʊ/	göstermek	A1
about	182	adv.	/əˈbaʊt/	hakkında	A1
over	183	adv.	/ˈoʊvər/	üstüne, üzerinden	A1
might	184	verb	/maɪt/	belki	A2
such	185	deter.	/sʌtʃ/	çok	A2
place	186	noun	/pleɪs/	yer	B1
again	187	adv.	/əˈɡen; əˈɡeɪn/	yine, tekrar	A1
city	188	noun	/ˈsɪti/	kent	A1
case	189	noun	/keɪs/	dava / kılıf / durum / vaka	A2
most	190	deter.	/moʊst/	çoğu	A1
few	191	deter.	/fjuː/	az	A1
system	192	noun	/ˈsɪstəm/	sistem	A2
week	193	noun	/wiːk/	hafta	A1
where	194	adv.	/wer/	nerede	A1
company	195	noun	/ˈkʌmpəni/	şirket	A1
each	196	deter.	/iːtʃ/	her biri	A1
percent	197	noun	/pərˈsent/	yüzde	A2
hear	198	verb	/hɪr/	duymak	A1
so	199	conj.	/soʊ/	böyle	A1
during	200	prepos.	/ˈdʊrɪŋ/	sırasında	A1
question	201	noun	/ˈkwestʃən/	soru	A2
right	202	adv.	/raɪt/	sağ	A1
program	203	noun	/ˈproʊɡræm/	program	B1
work	204	noun	/wɜːrk/	iş	A1
run	205	verb	/rʌn/	koşmak	A2
number	206	noun	/ˈnʌmbər/	numara	A2
small	207	adj.	/smɑːl/	küçük	A1
government	208	noun	/ˈɡʌvərnmənt/	devlet	A2
play	209	verb	/pleɪ/	oynamak	A1
off	210	adv.	/ɑːf/	dışında	A1
move	211	verb	/muːv/	hareket etmek / taşınmak	B1
like	212	verb	/laɪk/	beğenmek	A1
always (%100)	213	adv.	/ˈɑːl.weɪz/	her zaman	A1
night	214	noun	/naɪt/	gece	A1
believe	215	verb	/bɪˈliːv/	inanmak	A1
today	216	adv.	/təˈdeɪ/	bugün	A1
hold	217	verb	/hoʊld/	tutmak	B2
point	218	noun	/pɔɪnt/	nokta	B1
live	219	verb	/lɪv/	yaşamak	
happen	220	verb	/ˈhæpən/	meydana gelmek, olmak	A1
bring	221	verb	/brɪŋ/	getirmek	A1
next	222	num.	/nekst/	sonraki	B1
without	223	prepos.	/wɪˈðaʊt/	olmadan	A1
before	224	prepos.	/bɪˈfɔːr/	önce	A2
large	225	adj.	/lɑːrdʒ/	(beden olarak) geniş	A1
must	226	verb	/məst; mʌst/	mutlak	A1
all	227	adv.	/ɑːl/	tüm	A2
war	228	noun	/wɔːr/	savaş	A2
home	229	noun	/hoʊm/	(kendine ait)ev	A2
under	230	prepos.	/ˈʌndər/	altında	A1
room	231	noun	/ruːm; rʊm/	oda	A1
fact	232	noun	/fækt/	hakikat	A1
area	233	noun	/ˈeriə/	(fiziksel) alan	A1
national	234	adj.	/ˈnæʃnəl/	ulusal	B2
write	235	verb	/raɪt/	yazı yazmak	A1
money	236	noun	/ˈmʌni/	para	A1
right	237	noun	/raɪt/	sağ	A1
story	238	noun	/ˈstɔːri/	hikaye	A1
water	239	noun	/ˈwɑː.t̬ɚ/	su	B1
mother	240	noun	/ˈmʌðər/	anne	A1
different	241	adj.	/ˈdɪfrənt/	farklı	A1
young	242	adj.	/jʌŋ/	genç	B1
month	243	noun	/mʌnθ/	ay	A1
lot	244	noun	/lɑːt/	çok	A1
book	245	noun	/bʊk/	kitap	A2
eye	246	noun	/aɪ/	göz	A1
study	247	noun	/ˈstʌdi/	çalışma, araştırma	A1
job	248	noun	/dʒɑːb/	iş, görev	A1
kind	249	noun	/kaɪnd/	tür	A1
word	250	noun	/wɜːrd/	kelime	A1
issue	251	noun	/ˈɪʃuː/	mesele, sorun	B2
side	252	noun	/saɪd/	taraf	A2
four	253	num.	/fɔːr/	dört	A1
business	254	noun	/ˈbɪznəs/	iş, işletme	A1
though	255	conj.	/ðoʊ/	rağmen	B1
head	256	noun	/hed/	baş	B1
far	257	adv.	/fɑːr/	uzak	B1
long	258	adj.	/lɑːŋ/	uzun	B2
black	259	adj.	/blæk/	siyah	A1
million	260	num.	/ˈmɪljən/	milyon	A1
both	261	deter.	/boʊθ/	ikisi de	A1
little	262	adj.	/ˈlɪt̬.əl/	ufak, az	A2
after	264	conj.	/ˈæftər/	sonrasında	A2
since	265	conj.	/sɪns/	-dan beri	B1
around	266	prepos.	/əˈraʊnd/	etrafında	A1
long	267	adv.	/lɑːŋ/	uzun	B2
provide	268	verb	/prəˈvaɪd/	sağlamak	A2
service	269	noun	/ˈsɜːrvɪs/	hizmet	A2
important	270	adj.	/ɪmˈpɔr·tənt/	önemli	A1
sit	271	verb	/sɪt/	oturmak	A1
away	272	adv.	/əˈweɪ/	uzak	A1
friend	273	noun	/frend/	arkadaş	A1
however	274	adv.	/haʊˈevər/	ancak	A1
power	275	noun	/ˈpaʊər/	güç	B2
yet	277	adv.	/jet/	henüz	B2
father	278	noun	/ˈfɑːðər/	(biyolojik) baba	A1
hour	279	noun	/ˈaʊər/	saat	A1
often (%50)	280	adv.	/ˈɑːf.ən/	sık sık	A1
until	281	conj.	/ʌnˈtɪl/	a kadar	A1
political	282	adj.	/pəˈlɪt̬.ə.kəl/	siyasi	B1
line	283	noun	/laɪn/	hat, çizgi, sıra	B2
end	284	noun	/end/	son	A1
stand	285	verb	/stænd/	(ayakta) durmak	B2
among	286	prepos.	/əˈmʌŋ/	arasında	A2
game	287	noun	/ɡeɪm/	oyun	A1
ever	288	adv.	/ˈevər/	durmadan	A1
lose	289	verb	/luːz/	(oyunu, yarışı vb.) kaybetmek	A1
bad	290	adj.	/bæd/	kötü	A1
member	291	noun	/ˈmembər/	üye	A1
meet	292	verb	/miːt/	tanışmak	A1
pay	293	verb	/peɪ/	ödemek	A2
law	294	noun	/lɑː/	kanun	A2
almost	295	adv.	/ˈɑːl.moʊst/	neredeyse	A2
car	296	noun	/kɑːr/	araba	A1
later	297	adv.	/ˈleɪ.t̬ɚ/	daha sonra	A2
much	298	adv.	/mʌtʃ/	çok	A1
name	299	noun	/neɪm/	isim	A1
include	300	verb	/ɪnˈkluːd/	içermek (daha sonradan eklenerek)	A1
five	301	num.	/faɪv/	beş	A1
center	302	noun	/ˈsentər/	merkez	B1
once	303	adv.	/wʌns/	bir kez	B1
university	304	noun	/ˌjuː.nəˈvɝː.sə.t̬i/	üniversite	A1
continue	305	verb	/kənˈtɪnjuː/	devam etmek	A2
least	306	adv.	/liːst/	en az	A2
real	307	adj.	/ˈriːəl/	(varoluşsal) gerçek	A1
white	308	adj.	/waɪt/	Beyaz	A1
change	309	verb	/tʃeɪndʒ/	değiştirmek	A1
set	310	verb	/set/	ayarlamak	B1
several	311	deter.	/ˈsevrəl/	birkaç	A2
ago	312	adv.	/əˈɡoʊ/	evvel, önce	A1
information	313	noun	/ˌɪnfərˈmeɪʃn/	bilgi	A1
nothing	314	pronoun	/ˈnʌθɪŋ/	Hiçbir şey	A1
community	315	noun	/kəˈmjuːnəti/	topluluk	A2
best	316	adj.	/best/	en iyi	A2
right	317	adj.	/raɪt/	haklı, doğru	A1
idea	318	noun	/aɪˈdiːə/	fikir	A1
lead	319	verb	/liːd; led/	öncülük etmek	
body	320	noun	/ˈbɑːdi/	beden	A1
learn	321	verb	/lɜːrn/	öğrenmek	A1
kid	322	noun	/kɪd/	velet, küçük çocuk	A2
minute	323	noun	/ˈmɪnɪt/	dakika	
table	324	noun	/ˈteɪbl/	masa	A1
whether	325	conj.	/ˈweðər/	-meyip -mediğini	B1
understand	326	verb	/ˌʌndərˈstænd/	anlamak	A1
team	327	noun	/tiːm/	takım	A1
back	328	noun	/bæk/	geri, sırt	B2
watch	329	verb	/wɑːtʃ/	izlemek	A1
together	330	adv.	/təˈɡeðər/	beraber	A1
follow	331	verb	/ˈfɑːloʊ/	takip etmek	A1
around	332	adv.	/əˈraʊnd/	etrafında	A1
only	333	adj.	/ˈoʊnli/	bir tek	A1
stop	334	verb	/stɑːp/	durmak	A1
face	335	noun	/feɪs/	(beden) yüz	B1
anything	336	pronoun	/ˈeniθɪŋ/	herhangi bir şey	A1
public	337	adj.	/ˈpʌblɪk/	kamu, halka açık	A2
social	338	adj.	/ˈsoʊʃ(ə)l/	sosyal	A2
already	339	adv.	/ɑːlˈred.i/	zaten	A2
parent	340	noun	/ˈperənt/	ebeveyn	A1
speak	341	verb	/spiːk/	konuşmak	A1
create	342	verb	/kriˈeɪt/	oluşturmak, yaratmak	A1
office	343	noun	/ˈɑːfɪs/	ofis	A1
allow	344	verb	/əˈlaʊ/	izin vermek	A2
level	345	noun	/ˈlevl/	seviye	B2
read	346	verb	/riːd/	okumak	A1
spend	347	verb	/spend/	harcamak	A1
person	348	noun	/ˈpɜːrsn/	kişi	A1
door	349	noun	/dɔːr/	kapı	A1
sure	350	adj.	/ʃʊr/	emin	A2
add	351	verb	/æd/	eklemek	A1
street	352	noun	/striːt/	sokak	A1
such	353	prepos.	/sʌtʃ/	öyle/şöyle/böyle bir kişi/şey	A2
history	354	noun	/ˈhɪstri/	tarih	A1
party	355	noun	/ˈpɑːrti/	parti	A1
grow	356	verb	/ɡroʊ/	büyümek	A1
reason	357	noun	/ˈriːzn/	neden, sebep	A1
morning	358	noun	/ˈmɔːrnɪŋ/	sabah	A1
open	359	verb	/ˈoʊpən/	açmak	A1
within	360	prepos.	/wɪˈðɪn/	(soyut) içinde	B1
change	361	noun	/tʃeɪndʒ/	değişiklik	A1
although	362	conj.	/ɑːlˈðoʊ/	olmasına rağmen	A2
walk	363	verb	/wɑːk/	yürümek	A1
news	364	noun	/nuːz/	haber/haberler	A1
health	365	noun	/helθ/	sağlık	A1
court	366	noun	/kɔːrt/	mahkeme	B1
force	367	noun	/fɔːrs/	kuvvet	B1
early	368	adj.	/ˈɜːrli/	erken	A1
himself	369	pronoun	/hɪmˈself/	kendisi	A2
air	370	noun	/er/	(madde olarak) hava	A1
low	371	adj.	/loʊ/	düşük	B2
before	372	conj.	/bɪˈfɔːr/	önce	A2
art	373	noun	/ɑːrt/	sanat	A1
result	374	noun	/rɪˈzʌlt/	sonuç	B1
moment	375	noun	/ˈmoʊmənt/	an	A1
offer	376	verb	/ˈɑː.fɚ/	teklif etmek	A2
both	377	adv.	/boʊθ/	İkisi de	A1
remember	378	verb	/rɪˈmembər/	hatırlamak	A1
research	379	noun	/ˈriːsɜːrtʃ; rɪˈsɜːrtʃ; rɪˈsərtʃ; ˈriːsərtʃ/	araştırma(akademik)	A2
enough	380	adv.	/ɪˈnʌf/	yeter/yeterli	A1
girl	381	noun	/ɡɜːrl/	kız	A1
boy	382	noun	/bɔɪ/	oğlan	A1
win	383	verb	/wɪn/	kazanmak	B1
food	384	noun	/fuːd/	gıda, yemek, yiyecek	A1
across	385	prepos.	/əˈkrɑːs/	bir tarafından öbür tarafına	A1
guy	386	noun	/ɡaɪ/	(sokak dilinde) adam	A2
second	387	num.	/ˈsekənd/	ikinci	
able	388	adj.	/ˈeɪbl/	hünerli	A2
toward	389	prepos.	/twɔːrd/	-e doğru	A2
maybe	390	adv.	/ˈmeɪbi/	belki	A1
process	391	noun	/ˈprɑː.ses/	işlem	B2
off	392	prepos.	/ɑːf/	kapalı	A1
everything	393	pronoun	/ˈevriθɪŋ/	her şey	A1
appear	394	verb	/əˈpɪr/	belirmek, görünmek	A2
age	395	noun	/eɪdʒ/	yaş	B1
policy	396	noun	/ˈpɑːləsi/	politika	B1
consider	397	verb	/kənˈsɪdər/	dikkate almak, göz önünde bulundurmak	A2
including	398	prepos.	/ɪnˈkluːdɪŋ/	dahil olmak üzere	A2
probably	399	adv.	/ˈprɑːbəbli/	muhtemelen	A1
education	400	noun	/ˌedʒuˈkeɪʃn/	eğitim	A2
love	401	verb	/lʌv/	sevmek	A1
actually	402	adv.	/ˈæktʃuəli/	aslında	A2
buy	403	verb	/baɪ/	satın almak	A1
wait	404	verb	/weɪt/	beklemek	A2
die	405	verb	/daɪ/	ölmek	A1
human	406	adj.	/ˈhjuːmən/	insan	A2
send	407	verb	/send/	göndermek	A1
fee	408	noun	/fiː/	(alınan hizmet için) ücret	B2
expect	409	verb	/ɪkˈspekt/	ummak, beklemek	A2
serve	410	verb	/sɜːrv/	hizmet etmek	A2
sense	411	noun	/sens/	his, algı	B2
teacher	412	noun	/ˈtiːtʃər/	öğretmen	A1
home	413	adv.	/hoʊm/	ev	A2
market	414	noun	/ˈmɑːrkɪt/	market	B1
stay	415	verb	/steɪ/	kalmak	A2
build	416	verb	/bɪld/	inşa etmek	A1
nation	417	noun	/ˈneɪʃn/	ulus	B1
fall	418	verb	/fɑːl/	düşmek	A1
death	420	noun	/deθ/	ölüm	A2
plan	421	noun	/plæn/	plan	A1
interest	422	noun	/ˈɪntrəst; ˈɪntrest/	faiz	A1
someone	423	pronoun	/ˈsʌmwʌn/	birisi	A1
experience	424	noun	/ɪkˈspɪriəns/	deneyim	B1
cut	425	verb	/kʌt/	kesmek	B1
kill	426	verb	/kɪl/	öldürmek	A2
behind	427	prepos.	/bɪˈhaɪnd/	arkasında	A1
reach	428	verb	/riːtʃ/	ulaşmak	B2
six	429	num.	/sɪks/	altı	A1
local	430	adj.	/ˈloʊkl/	yerel	B1
remain	431	verb	/rɪˈmeɪn/	kalmak (bir pozisyonda/derecede vb)	B1
effect	432	noun	/əˈfekt/	efekt, etki, tesir	A2
suggest	433	verb	/səˈdʒestˌsəɡˈdʒest/	(hafif şekilde) önermek	A2
use	434	noun	/juːz/	kullanma	A2
control	435	noun	/kənˈtroʊl/	kontrol	A2
perhaps	436	adv.	/pərˈhæps/	belki	A2
raise	437	verb	/reɪz/	yükseltmek	B1
class	438	noun	/klæs/	sınıf / (lisede, okulda) ders	A1
late	439	adj.	/leɪt/	geç	A1
little	440	adv.	/ˈlɪtl/	biraz	A2
major	441	adj.	/ˈmeɪdʒər/	ana, başlıca	B2
else	443	adv.	/els/	Başka	A1
pass	444	verb	/pæs/	geçmek	B1
photo	445	noun	/ˈfoʊtoʊ/	fotoğraf	A1
sell	446	verb	/sel/	satmak	A1
themselves	447	pronoun	/ðəmˈselvz/	kendileri	A2
field	448	noun	/fiːld/	tarla, alan, saha	A2
college	449	noun	/ˈkɑːlɪdʒ/	kolej	A1
sometimes (%40)	450	adv.	/ˈsʌmtaɪmz/	bazen	A1
former	451	deter.	/ˈfɔːrmər/	önceki, evvelki	B2
development	452	noun	/dɪˈveləpmənt/	gelişim	B1
require	453	verb	/rɪˈkwaɪər/	gerekmek/gerektirmek	B1
along	454	prepos.	/əˈlɑːŋ/	(bir doğrultuda) boyunca	A2
decide	455	verb	/dɪˈsaɪd/	karar vermek	A1
security	456	noun	/sɪˈkjʊrəti/	güvenlik	B1
up	457	prepos.	/ʌp/	yukarı	A1
possible	458	adj.	/ˈpɑːsəbl/	mümkün	A1
effort	459	noun	/ˈefərt/	efor	B1
role	460	noun	/roʊl/	rol	A2
better	461	adj.	/ˈbetər/	daha iyi	B1
rate	462	noun	/reɪt/	oran	B2
strong	463	adj.	/strɑːŋ/	(fiziksel olarak) güçlü	A1
music	464	noun	/ˈmjuːzɪk/	müzik	A1
report	465	verb	/rɪˈpɔːrt/	rapor etmek	A2
leader	466	noun	/ˈliːdər/	lider	A2
light	467	noun	/laɪt/	ışık	A2
whole	468	adj.	/hoʊl/	(farklı parçalardan oluşmayan) bütün	B1
voice	469	noun	/vɔɪs/	(insana ait) ses	A2
color	470	noun	/ˈkʌlər/	renk	A1
heart	471	noun	/hɑːrt/	kalp	A2
care	472	noun	/ker/	dikkat, bakım	A2
police	473	noun	/pəˈliːs/	polis&nbsp;(organizasyon)	A1
economic	474	adj.	/ˌi·kəˈnɑm·ɪk/	ekonomik	B1
wife	475	noun	/waɪf/	eş (kadın)	A1
show	476	noun	/ʃoʊ/	gösteri	A1
mind	477	noun	/maɪnd/	akıl	A2
report	478	noun	/rɪˈpɔːrt/	rapor	A2
finally	479	adv.	/ˈfaɪnəli/	en sonunda	A2
drug	480	noun	/drʌɡ/	ilaç, uyuşturucu	A2
less	481	adv.	/les/	(sayılamazlar için) daha az	A2
return	482	verb	/rɪˈtɜːrn/	geri dönmek	A1
according	483	prepos.	/əˈkɔːrdɪŋ/	-e göre	A2
pull	484	verb	/pʊl/	çekmek	B1
decision	485	noun	/dɪˈsɪʒn/	karar	A2
explain	486	verb	/ɪkˈspleɪn/	açıklamak	A1
carry	487	verb	/ˈkæri/	taşımak	A1
develop	488	verb	/dɪˈveləp/	geliştirmek	A2
view	489	noun	/vjuː/	görüş, manzara	B1
free	490	adj.	/friː/	bedava	B2
hope	491	verb	/hoʊp/	umut etmek	A2
even	492	conj.	/ˈiːvn/	bile	B2
drive	493	verb	/draɪv/	(araba)sürmek	A2
son	494	noun	/sʌn/	oğul	A1
arm	495	noun	/ɑːrm/	kol	A1
department	496	noun	/dɪˈpɑːrtmənt/	bölüm, bakanlık	A2
TRUE	497	adj.	/truː/	doğru	A1
price	498	noun	/praɪs/	fiyat	B2
military	499	adj.	/ˈmɪləteri/	askeri	B2
federal	500	adj.	/ˈfedərəl/	federal	B1
break	501	verb	/breɪk/	kırmak	A1
action	502	noun	/ˈækʃ(ə)n/	eylem, aksiyon	A1
value	503	noun	/ˈvæljuː/	değer	B2
thank	504	verb	/θæŋk/	teşekkür	A1
relationship	505	noun	/rɪˈleɪʃnʃɪp/	ilişki	A2
town	506	noun	/taʊn/	kasaba	A1
better	507	adv.	/ˈbetər/	daha iyi	B1
building	508	noun	/ˈbɪldɪŋ/	bina	A1
receive	509	verb	/rɪˈsiːv/	teslim almak	A2
society	510	noun	/səˈsaɪəti/	toplum	A2
difference	511	noun	/ˈdɪfrəns/	fark	A1
church	512	noun	/tʃɜːrtʃ/	kilise	A2
full	513	adj.	/fʊl/	tam dolu	A1
join	514	verb	/dʒɔɪn/	katılmak	A1
road	515	noun	/roʊd/	(asfalt) yol	A1
because	516	prepos.	/bɪˈkəz/	Çünkü	A1
international	517	adj.	/ˌɪntərˈnæʃnəl/	uluslararası	A2
model	518	noun	/ˈmɑːdl/	model	B2
position	519	noun	/pəˈzɪʃn/	konum, pozisyon / mevki	B2
tax	520	noun	/tæks/	vergi	B1
director	521	noun	/dəˈrektər/	yönetmen, yönetici	A2
early	522	adv.	/ˈɜːrli/	erkenden	A1
agree	523	verb	/əˈɡriː/	hemfikir olmak, katılmak	A1
matter	524	noun	/ˈmæt̬.ɚ/	madde, cisim, konu,&nbsp;mesele	A2
especially	525	adv.	/ɪˈspeʃəli/	özellikle	A2
form	526	noun	/fɔːrm/	form	A1
record	527	noun	/rɪˈkɔːrd/	kayıt	A2
special	528	adj.	/ˈspeʃl/	özel	A1
ground	529	noun	/ɡraʊnd/	zemin, yer, toprak	A2
whose	530	deter.	/huːz/	kimin	A2
hard	531	adj.	/hɑːrd/	sert, katı	A1
pick	532	verb	/pɪk/	toplamak, seçmek	B2
paper	533	noun	/ˈpeɪpər/	kağıt	A1
official	534	noun	/əˈfɪʃl/	resmi	B2
season	535	noun	/ˈsiːzn/	mevsim	A2
wear	536	verb	/wer/	giymek	A1
event	537	noun	/ɪˈvent/	etkinlik	A1
support	538	verb	/səˈpɔːrt/	destek olmak	A2
